class_name,feature,n_samples,spearman_conflict_vs_shap_range,spearman_conflict_vs_shap_variance,spearman_conflict_vs_sign_instability,mean_shap_range,mean_shap_variance,mean_sign_instability
attack,num__dst_host_same_srv_rate,256,0.12592076782372064,0.14825004637465364,-0.06850840425948633,0.7160090861124218,0.04529279890538795,0.061718749999999996
attack,num__dst_host_serror_rate,256,0.1030174093912496,0.11108471290173001,0.005328733482872092,0.7559424144292279,0.04665787146941816,0.15520833333333334
attack,num__dst_host_srv_count,256,0.15614469698186026,0.1099265152672217,-0.08208538738509556,0.7570078592434584,0.05800856409051126,0.14453125
attack,num__dst_host_srv_diff_host_rate,256,-0.032029863919314415,-0.07421192546779445,-0.1306620206619497,0.27177145490622934,0.013197193052905783,0.13385416666666666
attack,num__dst_host_srv_rerror_rate,256,-0.11866059025150683,-0.14094800734260154,-0.15919933882516124,0.4577857419785687,0.03560227258996046,0.24062500000000003
attack,num__dst_host_srv_serror_rate,256,-0.0673470198896464,-0.04308255469942028,-0.004316380778191637,0.5372800060195004,0.02386203838986558,0.11614583333333332
attack,num__duration,256,0.04608256450986043,0.13838214259603562,-0.15331775558013058,0.08347518492519149,0.0037256885828078367,0.22708333333333333
attack,num__hot,256,-0.06783922855721848,-0.05549309933930685,0.36811954593021595,0.20871390162756137,0.008356968578443497,0.3341145833333333
attack,num__is_guest_login,256,-0.1179874509381851,-0.07843380306758202,0.2645839949596622,0.3940043471928476,0.13678010676710606,0.29036458333333337
attack,num__is_host_login,256,,,,0.0,0.0,0.0
attack,num__land,256,0.058694645292354894,0.04620279606276252,0.5522874935984252,0.052433017289814546,0.00021007798424503592,0.2869791666666667
attack,num__logged_in,256,-0.22260468636338845,-0.12963198194205305,0.26920908571946517,0.5521040731514404,0.026725373378418397,0.12682291666666667
attack,num__num_access_files,256,-0.0670094478785377,-0.0670094478785377,-0.0670094478785377,0.011483280337415636,0.0026932194869550203,0.0005208333333333332
attack,num__num_compromised,256,-0.06208112583717864,-0.06335499433867656,-0.016111800982133412,0.007175177973294922,0.00014478000118581686,0.002864583333333333
attack,num__num_failed_logins,256,-0.1793911352670467,-0.1793911352670467,-0.17941364780215033,0.15855053812265396,0.09193540827122446,0.012760416666666666
attack,num__num_file_creations,256,-0.07569407799073717,-0.07569407799073717,-0.07522793204044116,0.018232250804430805,0.001904113536008357,0.0015624999999999999
attack,num__num_outbound_cmds,256,,,,0.0,0.0,0.0
attack,num__num_root,256,0.03401602699642025,0.03401602699642025,,0.0032436155834147944,4.717453146688221e-05,0.0
attack,num__num_shells,256,-0.047046562850853006,-0.047046562850853006,-0.047585110554766746,0.14808296831324697,0.13343638061289514,0.003125
attack,num__rerror_rate,256,-0.042055459643203674,-0.0598636847207567,-0.16795031263927016,0.6487339614195662,0.06803186156463703,0.08124999999999999
attack,num__root_shell,256,0.0324837799665586,0.03284540170028528,0.03497118693895219,0.1407485632225871,0.06488567961930822,0.0067708333333333336
attack,num__same_srv_rate,256,0.004492324293166073,0.015989270448454603,-0.07666116742372246,0.6811892911268842,0.04157337683747078,0.10651041666666666
attack,num__serror_rate,256,0.18707214185838908,0.16852674571204163,0.08907925984556057,0.4772897133980223,0.019116095010113982,0.20885416666666667
attack,num__src_bytes,256,-0.023380833812540122,0.017721697375880512,-0.042260293223632645,0.005975114184671959,2.7290818372199798e-05,0.07734374999999999
attack,num__srv_count,256,0.032873409638448765,0.08106784115485963,-0.17117834825153838,0.7818450463530553,0.22807759681388595,0.16197916666666667
attack,num__srv_diff_host_rate,256,-0.13537469786453632,-0.1461273083427136,0.03900202665549201,0.6054027715053962,0.05018557711408983,0.2958333333333334
attack,num__srv_rerror_rate,256,-0.05799379774578038,-0.06260372860705303,0.2697306423958744,0.5867553599346138,0.06225729976260088,0.2390625
attack,num__srv_serror_rate,256,0.09714513762016723,0.15945369813666638,-0.13560127694308022,0.5335427466594638,0.023194359100803155,0.11484375
attack,num__su_attempted,256,0.05192122782641663,0.05192122782641663,,0.032503021880984306,0.018005348514346098,0.0
attack,num__urgent,256,,,,0.0,0.0,0.0
attack,num__wrong_fragment,256,0.0979714584422,0.23230365510540776,-0.09268399744782216,0.12458430508058882,0.001245899553153937,0.003125
normal,cat__flag_OTH,256,,,,0.0,0.0,0.0
normal,cat__flag_REJ,256,-0.1778290355100298,-0.2187439027220957,-0.19756824861821032,0.14574802858101066,0.004329533762072662,0.018750000000000003
normal,cat__flag_RSTO,256,-0.08369345551419112,-0.08612352993893414,,0.15589157358044758,0.018379392411159816,0.0
normal,cat__flag_RSTOS0,256,,,,0.0,0.0,0.0
normal,cat__flag_RSTR,256,0.07291065177119124,0.05730418781370777,0.006665454557160747,0.04460164692955004,0.001485045388272781,0.005208333333333332
normal,cat__flag_S0,256,-0.14482008014024403,-0.13239375139846632,-0.09928944838932953,0.4616165290267418,0.020643341690245124,0.012499999999999997
normal,cat__flag_S1,256,-0.043502082949953697,-0.04385381243857055,0.05504603131656126,0.032181679060638374,0.002355130931654472,0.05364583333333333
normal,cat__flag_S2,256,0.030402693342351735,0.084474635296468,0.027608908630525737,0.01101278695780996,1.0113259216801598e-05,0.17942708333333332
